Item #,Item Name,Category,Room / Area,Quantity,Suggested Price,Price Number,Extended Ask,Status,OBO?,Featured?,Photo Count,Main Photo,Description,Notes,Buyer / Sold To,Final Sold Price,Pickup Status
13,Pair of Scroll Metal Bar Chairs,Chairs,Dining Area,1,$120 OBO,120,120,Available,Yes,No,6,assets/items/img_0619.jpg,"Pair of black metal scroll-back chairs with patterned upholstered seats. Good for a bar-height counter, breakfast area, or accent seating.",Pair shown in added photos | Decorative metal frames | Seat condition shown in close-ups,,,
14,Patterned Club Chair,Chairs,Living Room,1,$125 OBO,125,125,Available,Yes,No,6,assets/items/img_0509.jpg,Upholstered club chair with bold geometric pattern and dark turned legs. Distinctive accent seating with personality.,Statement fabric pattern | Compact club-chair profile | Can pair with decor pieces,,,
15,Oval Glass Coffee Table,Tables,Living Room,1,$100 OBO,100,100,Available,Yes,No,2,assets/items/img_0504.jpg,Oval glass-top coffee table with decorative metal base. Clean visual footprint and classic living-room proportions.,Glass oval top | Decorative base | Bring padding for transport,,,
16,Pair of Small Metal Side Tables,Tables,Living Room,1,$60 OBO,60,60,Available,Yes,No,1,assets/items/img_0570.jpg,Pair of small metal side/accent tables with light tops and slender frames. Useful as plant stands or compact end tables.,Pair shown | Compact footprint | Good add-on purchase,,,
17,Desktop Computer / Music Workstation Setup,Electronics,Office / Studio,1,$450 OBO,450,450,Available,Yes,Yes,2,assets/items/img_0605.jpg,"Desk-based computer and music workstation setup with iMac-style display, keyboard, audio gear, speakers, and compact workstation table shown.",Bundle pricing is intentionally offer-based | Exact included electronics should be confirmed before purchase | Good candidate for call/text questions before visiting,,,
18,GVM LED Video Light Kit,Electronics,Equipment,1,$95 OBO,95,95,Available,Yes,No,4,assets/items/img_0501.jpg,"GVM LED panel lighting setup with barn doors and stand shown. Useful for photography, video, streaming, or product lighting.",GVM light panel visible | Stand shown | Function/accessories should be confirmed at sale,,,
19,HP Flat Panel Monitor,Electronics,Office / Media,1,$50 OBO,50,50,Available,Yes,No,2,assets/items/img_0639.jpg,"HP flat panel monitor with stand shown. Useful as a computer display, secondary monitor, or simple office setup.",HP label/details visible in photos | Buyer should confirm inputs and test if needed | Priced for quick local pickup,,,
20,Pair of Floor Speakers,Electronics,Office / Media,1,$150 OBO,150,150,Available,Yes,No,1,assets/items/img_0601.jpg,"Pair of tall black floor speakers. Suitable for stereo, media room, or music setup depending on receiver compatibility.",Pair shown | Buyer should test/confirm model and connections | Priced as OBO,,,
21,Retro Record Player / Media Console,Electronics,Living Room,1,$50 OBO,50,50,Available,Yes,No,2,assets/items/img_0620.jpg,Retro-styled record player/media console with wood-look case and built-in controls. Decorative and functional if tested successfully.,Turntable shown open | Attractive retro look | Function should be confirmed in person,,,
22,Wall-Mounted Flat Screen TV,Electronics,Media Room,1,$100 OBO,100,100,Available,Yes,No,1,assets/items/img_0607.jpg,Flat screen TV mounted on the wall. Good media-room item if buyer wants a simple local pickup deal.,Confirm size/model in person | Mount/accessories not guaranteed unless confirmed | Call or message for details,,,
23,Black Wire Shelving Rack,Storage,Storage Area,1,$65 OBO,65,65,Available,Yes,No,1,assets/items/img_0610.jpg,"Black wire shelving rack for storage, garage, pantry, office, or utility use. Practical piece for organizing bulky items.",Multiple shelves | Lightweight utility storage | Quick pickup item,,,
24,Bookcase / Cabinet with Storage,Storage,Office / Study,1,$160 OBO,160,160,Available,Yes,No,2,assets/items/img_0609.jpg,"Tall bookcase cabinet with open shelves and lower cabinet storage. Useful for books, office supplies, or display.",Books/accessories not automatically included | Lower cabinet storage | Buyer pickup required,,,
25,Brass Scissors Wall Decor,Wall Decor,Hall / Living Areas,1,$35 OBO,35,35,Available,Yes,No,1,assets/items/img_0645.jpg,"Gold/brass-tone oversized scissors wall decor. Distinctive accent piece for craft room, salon, studio, or gallery wall.",Oversized wall accent | Good for sewing/craft theme | Easy pickup item,,,
26,Decorative Metal Tree Wall Panels,Wall Decor,Living Area,1,$90 OBO,90,90,Available,Yes,No,2,assets/items/img_0643.jpg,"Tall decorative metal wall panels with tree/leaf motif. Strong visual pieces for entry, hallway, living room, or patio-style decor.",Two views shown | Tall vertical decor format | Bundle offers considered,,,
27,Decorative Mirror Collection,Wall Decor,Hall / Living Areas,1,$40–$120 OBO,40,40,Available,Yes,No,4,assets/items/img_0617.jpg,"Group of decorative mirrors in several shapes and finishes, including round/oval and gold-tone frames. Available individually or as a lot.",Individual offers welcome | Multiple styles shown | Inspect mounting hardware in person,,,
28,Framed Wall Art Collection,Wall Decor,Throughout House,1,$25–$150 OBO,25,25,Available,Yes,No,13,assets/items/img_0614.jpg,"Assorted framed wall art including floral prints, decorative panels, religious/inspirational art, and larger framed scenes. Pieces can be priced separately.",Multiple framed pieces shown | Bundle offers welcome | Glass/frame condition should be inspected,,,
29,Large Abstract Wall Art,Wall Decor,Living Area,1,$95 OBO,95,95,Available,Yes,No,2,assets/items/img_0651.jpg,"Large horizontal abstract wall art with black, white, red, yellow, and neutral tones. Modern accent piece for a wide wall.",Large horizontal format | Two angles shown | Good statement art piece,,,
30,Large Decorative Wall Clock,Wall Decor,Bedroom / Living Area,1,$55 OBO,55,55,Available,Yes,No,1,assets/items/img_0662.jpg,Large decorative wall clock with black scroll-style outer frame and vintage face. Strong wall accent with functional potential.,Large wall clock | Confirm clock function/battery in person | Good decorative piece,,,
31,Large Ornate Gold Framed Mirror,Wall Decor,Living Room,1,$220 OBO,220,220,Available,Yes,Yes,5,assets/items/img_0547.jpg,"Large wall mirror with ornate gold-tone frame and carved corner detailing. High-impact decorative focal point for entry, dining, or living area.",Large mirror | Transport carefully with padding | Strong statement decor piece,,,
32,Red Metal Flower Wall Art,Wall Decor,Living Area,1,$45 OBO,45,45,Available,Yes,No,2,assets/items/img_0656.jpg,Red metal flower wall art with dimensional floral detail. Bright accent decor for a wall or covered patio.,Two flower views shown | Dimensional metal design | Bundle with other wall art available,,,
33,Rose Wall Panel Art,Wall Decor,Living Room,1,$45 OBO,45,45,Available,Yes,No,1,assets/items/img_0576.jpg,Large square wall panel with raised rose design in deep red/brown tones. Textured decorative statement piece.,Textured floral panel | Square format | Warm dark finish,,,
34,Round Metal Wall Decor,Wall Decor,Living Room,1,$35 OBO,35,35,Available,Yes,No,2,assets/items/img_0560.jpg,Round metal wall decor with scroll/floral pattern and dark finish. Lightweight decorative wall accent.,Round metal design | Dark finish | Easy pickup item,,,
35,Artificial Tree with Plant Stand,Decor,Living Room,1,$75 OBO,75,75,Available,Yes,No,8,assets/items/img_0530.jpg,Tall artificial greenery/tree with planter and stand shown. Adds height and greenery without maintenance.,Artificial greenery | Planter/stand shown | Indoor decorative use,,,
36,"Decorative Figurines, Lamps & Tabletop Decor Lot",Decor,Living Room,1,$10–$80 OBO,10,10,Available,Yes,No,16,assets/items/img_0579.jpg,"Mixed tabletop decor including figurines, lamps, gold pineapple pieces, rooster/chicken decor, small clock, and assorted accents.",Individual or bundle offers welcome | Good browse-in-person section | Exact contents should be verified at sale,,,
37,Folding Room Divider Screen,Decor,Living Room,1,$85 OBO,85,85,Available,Yes,No,1,assets/items/img_0626.jpg,"Black-and-white folding room divider screen. Useful as a privacy screen, decorative backdrop, or room separation piece.",Folding panel screen | Good staging/decor piece | Easy standalone pickup item,,,
38,Gold-Tone Decorative Wreath,Decor,Living Area,1,$35 OBO,35,35,Available,Yes,No,1,assets/items/img_0653.jpg,"Gold-tone decorative wreath with layered leaf texture. Good wall, door, or seasonal decor accent.",Decorative wreath | Neutral metallic finish | Easy pickup item,,,
39,Floor Lamp & Table Lamp Decor,Lighting,Living Areas,1,$75 OBO,75,75,Available,Yes,No,4,assets/items/img_0646.jpg,Lighting group including floor/table lamp styles shown across the home. Available individually or as a bundle.,Function should be confirmed at sale | Individual offers welcome | Good add-on bundle,,,
40,Brother 1034DX Serger Sewing Machine,Sewing,Sewing / Utility,1,$175 OBO,175,175,Available,Yes,No,2,assets/items/img_0554.jpg,"Brother 1034DX serger sewing machine with original box shown. Useful for garment finishing, sewing, and craft work.",Model 1034DX visible | Machine and box shown | Power/function should be confirmed at sale,,,
41,Singer Sewing Machine with Table,Sewing,Sewing / Utility,1,$450 OBO,450,450,Available,Yes,Yes,4,assets/items/img_0624.jpg,"Singer sewing machine mounted in a work table with foot pedal and close-up machine photos. Higher-value sewing setup for a hobbyist, collector, or resale buyer.",Singer branding visible | Table and machine shown | Test/function status should be confirmed before purchase,,,
42,Dollhouse Playset with Accessories,Kids & Toys,Bedroom,1,$60 OBO,60,60,Available,Yes,No,1,assets/items/img_0545.jpg,Multi-level dollhouse playset with visible toy furniture and accessories. Colorful children’s play item.,Accessories shown | Confirm completeness in person | Reasonable offers accepted,,,
43,Kids Play Kitchen Set,Kids & Toys,Kids Room,1,$80 OBO,80,80,Available,Yes,No,1,assets/items/img_0661.jpg,Children’s play kitchen set with visible play features and accessories. Good standalone kids item.,Play kitchen set | Accessories shown may vary | Confirm completeness in person,,,
44,Werner Ladder + Garage Utility Items,Garage & Tools,Garage,1,$140 OBO for large ladder; smaller tools/ladders negotiable,140,140,Available,Yes,No,9,assets/items/img_0585.jpg,"Garage and utility items including a Werner ladder, additional ladders, storage drawers, yard/cleaning tools, hoses/tubing, and household utility pieces. The large ladder is priced below typical new big-box ladder pricing to move locally.",Large Werner ladder target: $140 OBO | Smaller ladders/tools can be bundled or sold individually | Competing against new Home Depot-style pricing while staying attractive for pickup,,,
45,Outdoor Planters & Yard Items,Outdoor,Outside,1,$15–$85 OBO,15,15,Available,Yes,No,5,assets/items/img_0594.jpg,"Outdoor items including ceramic planters, green spreader/cart, and perforated metal lantern or planter-style pieces.",Outdoor/patio items | Several planters shown | Best inspected outside at sale,,,
46,Folding Ironing Board,Household,Utility / Bedroom,1,$25 OBO,25,25,Available,Yes,No,1,assets/items/img_0657.jpg,Folding ironing board in usable household condition. Simple utility item for laundry or sewing setup.,Folds for transport | Good add-on with sewing items | Priced to move,,,
