Item #,Item Name,Category,Room / Area,Quantity,Suggested Price,Price Number,Extended Ask,Status,OBO?,Featured?,Photo Count,Main Photo,Description,Notes,Buyer / Sold To,Final Sold Price,Pickup Status
20,Patterned Club Chair,Chairs,Living Room,1,$125 OBO,125,125,Available,Yes,No,6,assets/items/img_0509.jpg,Upholstered club chair with bold geometric pattern and dark turned legs. Distinctive accent seating with personality.,Statement fabric pattern | Compact club-chair profile | Can pair with decor pieces,,,
21,Tufted Ottoman / Small Bench,Chairs,Living Room,1,$65 OBO,65,65,Available,Yes,No,2,assets/items/img_0668.jpg,"Small tufted ottoman or bench with light upholstery and wood legs. Useful as a footrest, vanity bench, or accent seating.",Tufted cushion top | Compact size | Pairs well with the rocking chair or accent seating,,,
22,Wood Frame Rocking Chair,Chairs,Living Room,1,$125 OBO,125,125,Available,Yes,No,3,assets/items/img_0665.jpg,"Wood frame rocking chair with light patterned upholstered seat and back. Traditional accent chair for a living room, nursery, bedroom, or porch-style sitting area.",Rocking chair shown from multiple angles | Light patterned upholstery | Buyer should inspect fabric and rocker condition in person,,,
23,Wood-Seat Metal Accent Chair,Chairs,Dining / Entry,1,$45 OBO,45,45,Available,Yes,No,1,assets/items/img_0640.jpg,"Single metal accent chair with shaped wood seat. Useful as extra seating, plant-stand seating, or a small entry/dining accent.",Single chair shown | Different from the matching scroll chair pair | Good quick pickup item,,,
24,Oval Glass Coffee Table,Tables,Living Room,1,$100 OBO,100,100,Available,Yes,No,2,assets/items/img_0504.jpg,Oval glass-top coffee table with decorative metal base. Clean visual footprint and classic living-room proportions.,Glass oval top | Decorative base | Bring padding for transport,,,
25,Pair of Small Metal Side Tables,Tables,Living Room,1,$60 OBO,60,60,Available,Yes,No,1,assets/items/img_0570.jpg,Pair of small metal side/accent tables with light tops and slender frames. Useful as plant stands or compact end tables.,Pair shown | Compact footprint,,,
26,Compact Computer / Music Workstation Desk,Tables,Office / Studio,1,$129 OBO,129,129,Available,Yes,No,2,assets/items/img_0605.jpg,"Compact desk shown in the computer/music workstation photos. Only the desk is for sale; computer, monitor, keyboard, audio gear, speakers, and accessories are not included.","Desk only - electronics and music gear are not included | Shown staged with equipment so buyers can understand size and use case | Good for a small office, music corner, student setup, or compact workstation",,,
27,GVM LED Video Light Kit,Electronics,Equipment,1,$95 OBO,95,95,Available,Yes,No,4,assets/items/img_0501.jpg,"GVM LED panel lighting setup with barn doors and stand shown. Useful for photography, video, streaming, or product lighting.",GVM light panel visible | Stand shown | Function/accessories should be confirmed at sale,,,
28,HP Flat Panel Monitor,Electronics,Office / Media,1,$40 OBO,40,40,Available,Yes,No,2,assets/items/img_0639.jpg,"HP flat panel monitor with stand shown. Useful as a computer display, secondary monitor, or simple office setup.",HP label/details visible in photos | Buyer should confirm inputs and test if needed | Priced for quick local pickup,,,
29,Pair of Floor Speakers,Electronics,Office / Media,1,$150 OBO,150,150,Available,Yes,No,1,assets/items/img_0601.jpg,"Pair of tall black floor speakers. Suitable for stereo, media room, or music setup depending on receiver compatibility.",Pair shown | Buyer should test/confirm model and connections | Priced as OBO,,,
30,Retro Record Player / Media Console,Electronics,Living Room,1,$50 OBO,50,50,Available,Yes,No,5,assets/items/img_0708.jpg,Victrola-style vinyl/record player console with wood-look case and built-in controls.,Wood-look case with built-in controls | Function should be confirmed in person,,,
31,Wall-Mounted Flat Screen TV,Electronics,Media Room,1,$100 OBO,100,100,Available,Yes,No,1,assets/items/img_0607.jpg,Flat screen TV mounted on the wall. Good media-room item if buyer wants a simple local pickup deal.,Confirm size/model in person | Mount/accessories not guaranteed unless confirmed | Call or message for details,,,
32,Black Wire Shelving Rack,Storage,Storage Area,1,$65 OBO,65,65,Available,Yes,No,1,assets/items/img_0610.jpg,"Black wire shelving rack for storage, garage, pantry, office, or utility use. Practical piece for organizing bulky items.",Multiple shelves | Lightweight utility storage | Quick pickup item,,,
33,Bookcase / Cabinet with Storage,Storage,Office / Study,1,$160 OBO,160,160,Available,Yes,No,2,assets/items/img_0609.jpg,"Tall bookcase cabinet with open shelves and lower cabinet storage. Useful for books, office supplies, or display.",Books/accessories not automatically included | Lower cabinet storage | Buyer pickup required,,,
34,Brass Scissors Wall Decor,Wall Decor,Hall / Living Areas,1,$35 OBO,35,35,Available,Yes,No,1,assets/items/img_0645.jpg,"Gold/brass-tone oversized scissors wall decor. Distinctive accent piece for craft room, salon, studio, or gallery wall.",Oversized wall accent | Good for sewing/craft theme | Easy pickup item,,,
35,Decorative Metal Tree Wall Panels,Wall Decor,Living Area,1,$90 OBO,90,90,Available,Yes,No,2,assets/items/img_0643.jpg,"Tall decorative metal wall panels with tree/leaf motif. Strong visual pieces for entry, hallway, living room, or patio-style decor.",Two views shown | Tall vertical decor format | Bundle offers considered,,,
36,Decorative Mirror Collection,Wall Decor,Hall / Living Areas,1,$40-$120 OBO,40,40,Available,Yes,No,6,assets/items/img_0617.jpg,"Group of decorative mirrors in several shapes and finishes, including round/oval and gold-tone frames. Available individually or as a lot.",Individual offers welcome | Multiple styles shown | Inspect mounting hardware in person,,,
37,Framed Wall Art Collection,Wall Decor,Throughout House,1,$25-$150 OBO,25,25,Available,Yes,No,15,assets/items/img_0614.jpg,"Assorted framed wall art including floral prints, decorative panels, religious/inspirational art, and larger framed scenes. Pieces can be priced separately.",Multiple framed pieces shown | Bundle offers welcome | Glass/frame condition should be inspected,,,
38,Large Abstract Wall Art,Wall Decor,Living Area,1,$95 OBO,95,95,Available,Yes,No,2,assets/items/img_0651.jpg,"Large horizontal abstract wall art with black, white, red, yellow, and neutral tones. Modern accent piece for a wide wall.",Large horizontal format | Two angles shown | Good statement art piece,,,
39,Large Decorative Wall Clock,Wall Decor,Bedroom / Living Area,1,$55 OBO,55,55,Available,Yes,No,1,assets/items/img_0662.jpg,Large decorative wall clock with black scroll-style outer frame and vintage face. Strong wall accent with functional potential.,Large wall clock | Confirm clock function/battery in person | Good decorative piece,,,
40,Large Ornate Gold Framed Mirror,Wall Decor,Living Room,1,$220 OBO,220,220,Available,Yes,Yes,5,assets/items/img_0547.jpg,"Large wall mirror with ornate gold-tone frame and carved corner detailing. High-impact decorative focal point for entry, dining, or living area.",Large mirror | Transport carefully with padding | Strong statement decor piece,,,
41,Red Metal Flower Wall Art,Wall Decor,Living Area,1,$45 OBO,45,45,Available,Yes,No,2,assets/items/img_0656.jpg,Red metal flower wall art with dimensional floral detail. Bright accent decor for a wall or covered patio.,Two flower views shown | Dimensional metal design | Bundle with other wall art available,,,
42,Rose Wall Panel Art,Wall Decor,Living Room,1,$45 OBO,45,45,Available,Yes,No,1,assets/items/img_0576.jpg,Large square wall panel with raised rose design in deep red/brown tones. Textured decorative statement piece.,Textured floral panel | Square format | Warm dark finish,,,
43,Round Metal Wall Decor,Wall Decor,Living Room,1,$35 OBO,35,35,Available,Yes,No,2,assets/items/img_0560.jpg,Round metal wall decor with scroll/floral pattern and dark finish. Lightweight decorative wall accent.,Round metal design | Dark finish | Easy pickup item,,,
44,Angel Figurine,Decor,Living Area,1,$20 OBO,20,20,Available,Yes,No,1,assets/items/img_0677.jpg,"Light-toned angel figurine with floral detail. Decorative tabletop piece for a mantel, shelf, or memorial display.",One angel figurine shown | Delicate decorative piece | Bundle offers welcome,,,
45,Artificial Tree with Plant Stand,Decor,Living Room,1,$75 OBO,75,75,Available,Yes,No,10,assets/items/img_0530.jpg,Tall artificial greenery/tree with planter and stand shown. Adds height and greenery without maintenance.,Artificial greenery | Planter/stand shown | Indoor decorative use,,,
46,Black Angel Statue,Decor,Living Area,1,$35 OBO,35,35,Available,Yes,No,2,assets/items/img_0681.jpg,Dark angel statue with sculptural robe and wing detail. Strong decorative shelf or table piece.,One black angel statue shown | Multiple detail photos included | Pairs well with other figurines,,,
47,Blue Floral Vase,Decor,Decor / Tabletop,1,$20 OBO,20,20,Available,Yes,No,1,assets/items/img_0711.jpg,"Deep blue decorative vase with floral detail. Easy tabletop decor piece for a shelf, mantel, entry table, or resale display.",Single vase shown | Good small add-on item | Inspect condition in person,,,
48,Family Figurine,Decor,Living Area,1,$30 OBO,30,30,Available,Yes,No,1,assets/items/img_0678.jpg,Family-themed figurine with seated adult and child figures. Warm sentimental tabletop decor piece.,One family figurine shown | Good shelf or table display piece | Bundle with other figurines available,,,
49,Folding Room Divider Screen,Decor,Living Room,1,$85 OBO,85,85,Available,Yes,No,1,assets/items/img_0626.jpg,"Black-and-white folding room divider screen. Useful as a privacy screen, decorative backdrop, or room separation piece.",Folding panel screen | Good staging/decor piece | Easy standalone pickup item,,,
50,Gold Pineapple Decor Pieces,Decor,Living Area,3,$45 OBO for group,45,135,Available,Yes,No,4,assets/items/img_0685.jpg,"Gold-tone pineapple decor pieces with textured metallic finish. Strong accent pieces for table, shelf, entry, or tropical glam decor.",Quantity inferred from photos: 3 pieces | Buyer can confirm exact group in person | Bundle-friendly decor item,,,
51,Gold-Tone Decorative Wreath,Decor,Living Area,1,$35 OBO,35,35,Available,Yes,No,1,assets/items/img_0653.jpg,"Gold-tone decorative wreath with layered leaf texture. Good wall, door, or seasonal decor accent.",Decorative wreath | Neutral metallic finish | Easy pickup item,,,
52,Golden Elephant Figurines,Decor,Living Area,3,$45 OBO for set of 3,45,135,Available,Yes,No,2,assets/items/img_0683.jpg,"Set of three gold-tone elephant figurines. Good luck-style decor set for shelf, table, entry console, or resale bundle.",Quantity: 3 golden elephants | Sold preferably as a set | Close-up photo included,,,
53,Metal Hourglass Decor,Decor,Living Area,1,$25 OBO,25,25,Available,Yes,No,1,assets/items/img_0675.jpg,"Metal-frame hourglass decor piece. Good bookshelf, office, console, or tabletop accent.",One hourglass shown | Decorative tabletop scale,,,
54,Mixed Decorative Small Items Lot,Decor,Living Room,1,$60 OBO for lot,60,60,Available,Yes,No,11,assets/items/img_0579.jpg,Remaining mixed tabletop decor and smaller decorative accents not broken out as individual listings. Good for bundle buyers and decor resellers.,"Individual offers welcome | Bundle with figurines, lamps, or wall decor | Exact contents can be confirmed in person",,,
55,Seated Woman Figurine,Decor,Living Area,1,$30 OBO,30,30,Available,Yes,No,2,assets/items/img_0679.jpg,"Decorative seated woman figurine photographed from multiple angles. Elegant accent for tabletop, shelf, or display cabinet.",One figurine shown from two angles | Detailed sculptural decor | Inspect condition in person,,,
56,Teddy Bear Chair Decor Set,Decor,Living Area,1,$35 OBO,35,35,Available,Yes,No,1,assets/items/img_0674.jpg,Small decorative chair display with teddy bears and soft accent pieces. Cute tabletop or children’s room decor bundle.,Sold as photographed | Small decor bundle | Good add-on with kids/decor items,,,
57,Vintage-Style Decorative Globe,Decor,Living Area,1,$35 OBO,35,35,Available,Yes,No,1,assets/items/img_0676.jpg,"Decorative globe with vintage-style map finish and pedestal base. Strong desk, bookshelf, office, or study accent.",One globe shown | Good office/study decor | Easy pickup item,,,
58,Floor Lamp & Table Lamp Decor,Lighting,Living Areas,3,$75 OBO,75,225,Available,Yes,No,4,assets/items/img_0646.jpg,Lighting group including floor/table lamp styles shown across the home. Available individually or as a bundle.,Function should be confirmed at sale | Individual offers welcome | Good add-on bundle,,,
59,Decorative Upholstery Remnant Rolls,Sewing & Upholstery,Sewing / Materials,1,$125 OBO for lot,125,125,Available,Yes,No,5,assets/items/img_0727.jpg,"Decorative upholstery remnant rolls with patterned and textured materials. Useful for accent cushions, small upholstery jobs, crafts, or booth resale.",Patterned and textured rolls visible | Buyer should confirm exact quantity and lengths | Bundle with other material lots available,,,
60,Marine-Quality Upholstery Vinyl / Material Rolls,Sewing & Upholstery,Sewing / Materials,1,$275 OBO for lot,275,275,Available,Yes,Yes,10,assets/items/img_0690.jpg,"Large upholstery and vinyl material roll lot, with several pieces appearing marine-quality or heavy-duty. Strong opportunity for boat seats, cushions, upholstery repair, craft resale, or a small shop.",Dedicated sewing/upholstery spotlight item | Several rolls and material types shown | Most appear heavy-duty; buyer should confirm exact yardage and backing | Bundle with Singer table and sewing supplies,,,
61,Upholstery Fabric Bolt Stack,Sewing & Upholstery,Sewing / Materials,1,$150 OBO for stack,150,150,Available,Yes,Yes,5,assets/items/img_0716.jpg,"Stacked upholstery and craft fabrics in multiple colors and textures. Good for chair recovering, pillows, samples, craft projects, and resale bundles.",Multiple colors and textures visible | Buyer should confirm lengths/yardage | Good add-on for sewing machine buyers,,,
62,Brother 1034DX Serger Sewing Machine,Sewing,Sewing / Utility,1,$175 OBO,175,175,Available,Yes,Yes,2,assets/items/img_0554.jpg,Brother 1034DX serger sewing machine with original box shown.,Original box shown | Good sewing setup item | Function should be confirmed in person,,,
63,Singer Sewing Machine with Table,Sewing,Sewing / Utility,1,$450 OBO,450,450,Available,Yes,Yes,4,assets/items/img_0624.jpg,"Singer sewing machine mounted in a work table with foot pedal and close-up machine photos. Higher-value sewing setup for a hobbyist, collector, or resale buyer.",Singer branding visible | Table and machine shown,,,
64,Dollhouse Playset with Accessories,Kids & Toys,Bedroom,1,$60 OBO,60,60,Available,Yes,No,1,assets/items/img_0545.jpg,Multi-level dollhouse playset with visible toy furniture and accessories. Colorful children’s play item.,Accessories shown | Confirm completeness in person | Reasonable offers accepted,,,
65,Kids Play Kitchen Set,Kids & Toys,Kids Room,1,$80 OBO,80,80,Available,Yes,No,1,assets/items/img_0661.jpg,Children’s play kitchen set with visible play features and accessories. Good standalone kids item.,Play kitchen set | Accessories shown may vary | Confirm completeness in person,,,
66,Additional Ladders / Step Ladders,Garage & Tools,Garage,1,$60 OBO for group,60,60,Available,Yes,No,1,assets/items/img_0585.jpg,"Additional household ladders/step ladders visible in the garage grouping. Useful for utility, storage, and home projects.",Group pricing; individual offers considered | Exact ladder count should be confirmed in person | Bundle with Werner ladder available,,,
67,Big Red Mechanic / Utility Item,Garage & Tools,Garage,1,$40 OBO,40,40,Available,Yes,No,1,assets/items/img_0587.jpg,"Big Red branded garage utility item. Likely useful for mechanic, workshop, or garage tasks depending on buyer needs.",Big Red branding visible | Function/type should be confirmed in person | Priced conservatively for quick pickup,,,
68,Chrome Wire Shelving Panels / Rack Parts,Garage & Tools,Garage,1,$35 OBO,35,35,Available,Yes,No,1,assets/items/img_0698.jpg,"Chrome wire shelving panels or rack parts visible in garage storage. Practical utility item for shelving repair, garage organization, or parts reuse.",Garage utility item | Buyer should confirm exact parts and dimensions in person,,,
69,Cleaning Tools / Broom Lot,Garage & Tools,Garage,1,$15 OBO,15,15,Available,Yes,No,1,assets/items/img_0591.jpg,Small cleaning-tool lot including broom/handle tools visible in garage photos. Practical add-on for a bundle buyer.,Low-cost utility lot | Bundle with garage items | Exact contents confirmed in person,,,
70,Garage Hoses / Tubing Lot,Garage & Tools,Garage,1,$25 OBO,25,25,Available,Yes,No,1,assets/items/img_0586.jpg,Group of hoses/tubing and utility garage pieces. Best as a practical bundle for someone already picking up tools or outdoor items.,Sold as a lot | Inspect exact pieces in person | Good bundle add-on,,,
71,Garage Household Overflow Lot,Garage & Tools,Garage,1,$20 OBO,20,20,Available,Yes,No,3,assets/items/img_0584.jpg,Remaining mixed garage/household overflow items not otherwise broken out. Includes small household utility pieces and miscellaneous items visible in the photos.,Use as a bundle/overflow listing | Individual contents should be confirmed in person | Good add-on for buyer taking multiple items,,,
72,Multi-Drawer Parts Organizer / Storage Cabinet,Garage & Tools,Garage,1,$45 OBO,45,45,Available,Yes,No,1,assets/items/img_0589.jpg,"Multi-drawer organizer cabinet for small parts, hardware, craft supplies, tools, fasteners, or garage organization.","Many small drawers visible | Useful for garage, craft room, or workshop | Contents not guaranteed unless confirmed",,,
73,Werner Extension Ladder,Garage & Tools,Garage,1,$140 OBO,140,140,Available,Yes,No,1,assets/items/img_0590.jpg,Werner extension ladder priced to compete with new big-box ladder pricing while still moving quickly for local pickup.,Large Werner ladder visible | Priced below typical new retail ladder cost | Buyer should confirm size/rating in person,,,
74,Outdoor Planters & Yard Items,Outdoor,Outside,1,$15-$85 OBO,15,15,Available,Yes,No,5,assets/items/img_0594.jpg,"Outdoor items including ceramic planters, green spreader/cart, and perforated metal lantern or planter-style pieces.",Outdoor/patio items | Several planters shown | Green spreader/cart shown separately in photos,,,
75,Folding Ironing Board,Household,Utility / Bedroom,1,$25 OBO,25,25,Available,Yes,No,1,assets/items/img_0657.jpg,Folding ironing board in usable household condition. Simple utility item for laundry or sewing setup.,Folds for transport | Good add-on with sewing items | Priced to move,,,
